Month,New_Customers,Referral_Percentage,Campaign_Percentage,Partnership_Percentage,Energy_Discharged_kWh,Outage_Avoidance_Percentage,Avg_Savings_Per_Customer,Total_Savings
March,297,40.14,28.37,27.14,819,98.21,34.24,9185
February,45,38.98,22.47,17.99,1466,97.46,27.14,6293
April,128,33.65,36.17,16.66,1987,83.73,46.66,2246
February,111,26.47,33.98,18.55,1450,90.24,39.77,4649
April,282,34.09,36.12,12.19,691,96.03,23.77,9580
January,137,24.02,33.46,17.18,1485,90.65,43.29,1082
May,263,44.04,10.96,18.52,1909,92.73,41.25,1015
March,76,28.29,18.12,13.74,1405,85.58,38.54,9258
November,91,42.74,37.09,11.26,1236,84.19,29.84,1006
December,17,45.97,21.05,18.96,1441,86.64,37.76,5806
November,17,24.36,29.87,29.64,677,86.91,37.04,4289
August,205,39.32,34.32,12.49,917,93.2,25.86,4185
July,169,33.8,37.56,24.46,767,89.56,36.23,9778
March,183,47.66,30.29,11.22,833,84.62,27.92,4182
September,215,20.06,30.96,15.74,1560,89.85,39.35,7335
January,178,35.73,20.75,29.15,764,98.01,20.42,2691
May,295,25.72,23.3,29.89,1965,88.91,46.89,4014
August,218,21.77,31.3,15.36,1892,91.24,33.45,3698
December,294,30.26,16.93,21.56,1639,96.58,43.45,7778
February,156,39.19,18.65,20.37,1144,99.18,43.43,1179
August,75,49.87,29.24,18.03,1435,98.79,36.69,6188
October,273,32.26,22.62,20.87,1742,83.76,42.74,9473
April,173,34.34,33.09,12.97,1910,83.08,39.38,2298
January,170,46.33,25.64,14.46,1290,97.95,43.36,8683
March,65,45.49,23.12,28.92,1270,82.01,23.22,5010
August,99,48.49,32.13,27.09,813,93.71,41.01,2960
April,230,40.34,24.44,16.04,860,88.55,49.8,9777
July,272,31.06,11.59,27.22,1201,99.9,43.96,4967
June,31,43.76,20.49,23.6,1483,99.19,35.01,9361
March,104,48.32,38.64,25.18,920,95.24,25.22,3845
December,79,30.13,14.16,28.32,854,93.14,35.18,2336
February,288,42.07,25.64,17.85,974,88.48,23.46,7296
February,120,26.53,36.51,27.98,1700,90.01,48.76,8040
March,15,24.98,33.89,24.92,1301,91.47,37.61,7522
December,82,40.91,12.88,23.14,1918,83.18,44.68,5133
December,30,32.18,24.14,26.2,1170,96.74,37.76,8025
May,298,39.65,15.72,28.61,1692,80.17,44.85,1734
March,215,32.44,17.81,28.3,547,82.55,42.01,6620
February,148,24.27,27.79,15.21,1121,86.39,37.06,3984
October,275,30.65,35.3,12.49,546,82.51,48.57,2213
February,23,48.68,24.95,12.61,1154,99.85,30.95,4420
March,67,44.53,24.76,25.12,541,99.13,47.27,3142
September,269,20.68,25.89,28.32,1355,81.49,47.97,4840
April,93,43.72,23.56,20.2,968,80.34,42.16,1222
June,123,33.29,27.95,11.16,1109,89.48,49.13,6515
April,102,49.84,27.1,16.92,1364,86.16,27.93,1714
June,236,43.35,19.46,16.91,941,96.98,32.07,8071
January,131,47.18,13.88,14.94,1317,80.21,45.5,8607
August,104,32.38,22.66,16.03,1974,83.28,43.28,6008
June,222,26.63,14.3,23.45,1219,84.76,43.09,9836
January,246,32.44,34.05,24.96,1779,98.62,21.65,5468
July,42,41.09,18.02,17.14,1792,99.75,36.71,2888
December,49,42.99,10.13,25.72,1822,86.91,41.54,3129
October,69,40.29,23.07,11.71,1609,83.38,29.14,8102
September,220,44.38,17.87,24.98,1884,85.79,41.67,3874
September,118,30.78,29.25,11.24,1276,87.09,24.21,6461
June,166,23.73,19.48,29.17,1224,89.93,43.04,9671
March,68,28.83,27.24,21.2,1062,97.87,40.46,1361
October,120,28.8,13.41,12.99,1863,92.87,26.64,5496
January,253,46.34,26.04,11.08,507,88.22,33.14,3058
December,100,35.76,10.12,24.23,1926,97.63,36.49,1614
June,170,29.54,22.98,24.76,1119,87.13,40.24,7447
January,274,38.79,36.81,15.84,1534,91.0,39.43,5751
January,174,35.5,27.08,13.94,1035,87.33,28.81,7030
June,57,25.62,26.86,18.42,1427,97.9,23.63,7600
February,11,40.1,36.43,18.05,1999,91.32,43.37,5267
September,246,27.53,25.72,23.8,1336,84.81,33.03,4607
September,261,40.34,15.19,28.6,812,90.5,22.91,8329
August,239,20.94,12.32,15.22,1668,84.49,31.75,8059
August,110,34.97,18.35,10.27,1938,85.96,31.97,5457
December,160,39.16,14.89,16.94,1217,90.84,37.22,2061
January,156,22.48,10.58,15.24,556,96.37,24.09,8232
August,147,33.02,13.83,20.94,1204,90.37,36.27,1729
August,47,24.12,10.41,27.82,1793,93.47,45.4,4256
March,123,49.3,11.21,25.23,1771,92.46,34.52,7459
June,53,38.06,15.58,19.27,1536,92.05,24.05,2129
July,89,30.59,31.74,28.01,1776,88.99,30.11,4425
December,149,30.94,33.61,18.55,708,93.03,48.56,5544
March,61,28.31,18.95,29.59,1881,85.67,20.76,9754
July,141,49.81,25.09,28.74,1097,95.45,49.04,6196
February,38,38.4,14.71,14.37,1001,83.35,29.79,1775
December,21,28.9,27.61,13.03,750,97.87,42.9,7673
May,220,26.42,35.75,18.16,1262,88.61,34.45,2858
May,36,27.48,13.69,29.58,1276,98.49,46.85,8146
November,41,20.5,12.66,17.62,941,98.9,49.87,8297
October,160,43.38,22.21,19.55,733,90.2,22.12,1523
November,20,48.59,16.26,19.99,822,96.45,41.4,6268
May,274,47.21,12.64,13.05,663,95.1,34.6,1508
March,232,40.4,21.94,13.25,1635,94.73,36.58,5037
June,279,36.67,30.74,28.9,1330,92.65,27.01,3786
October,165,24.58,35.93,20.91,1144,90.43,49.26,4837
August,189,20.23,32.22,12.42,543,98.26,26.16,9989
September,34,26.2,24.52,16.61,635,90.86,49.76,1983
October,131,20.94,30.94,24.72,1979,93.06,34.26,7874
November,158,39.41,11.56,23.65,852,92.78,21.08,4822
March,83,35.68,38.92,23.68,649,80.38,26.1,1207
April,26,23.1,36.56,24.38,1839,98.99,38.25,4643
September,156,36.22,30.01,18.27,1069,84.62,22.13,4958
August,293,30.34,10.98,19.87,568,81.74,45.57,9415
June,125,40.37,25.89,23.87,875,86.0,47.08,2189
November,147,37.93,17.83,12.87,895,87.6,45.34,2682
May,108,46.15,35.94,25.49,1540,84.47,46.26,3156
September,82,45.32,18.9,25.46,1097,83.94,44.92,3348
April,153,23.04,33.08,14.66,1550,82.43,30.14,3095
October,118,34.22,21.82,19.13,1515,90.02,32.68,1884
November,21,29.63,38.87,22.84,1645,91.59,42.85,4388
December,271,37.02,27.03,26.31,1868,86.57,40.05,3474
December,204,28.19,34.17,29.1,1987,84.55,26.18,8896
September,16,35.47,24.6,26.21,1130,99.5,49.97,9058
March,137,24.49,10.58,21.23,1084,97.37,47.52,9344
November,297,21.53,13.77,24.3,1792,87.9,48.83,3096
July,151,32.21,33.04,25.51,1275,86.11,25.92,2605
April,85,48.17,15.26,20.2,975,84.9,47.02,5889
April,88,35.44,33.96,10.83,677,95.3,31.38,9876
November,37,38.86,11.52,11.85,1313,80.16,35.67,4152
December,186,21.19,28.89,10.59,1726,92.28,37.97,1081
February,65,28.7,31.81,13.12,1472,83.38,39.83,3012
November,146,34.47,28.88,11.11,841,95.21,26.55,6046
May,144,20.86,33.76,17.54,543,98.84,33.84,7582
July,221,40.08,39.51,15.02,1693,81.68,28.3,9517
January,260,39.56,30.93,10.11,1352,82.21,43.21,8428
March,33,21.23,24.86,17.71,1700,98.78,34.55,9144
September,220,48.8,38.53,18.19,1649,81.14,21.57,6848
February,209,24.93,26.48,12.46,1493,93.35,43.51,2933
July,26,37.4,27.75,12.01,845,98.51,49.37,4881
October,272,41.01,12.84,20.23,1263,80.74,24.82,8885
April,201,47.12,13.7,13.89,1397,90.87,33.35,7135
November,284,38.45,21.6,23.02,982,92.4,43.87,9613
April,267,20.64,31.64,14.29,1301,92.57,35.71,6819
March,254,47.04,18.41,18.77,1729,87.29,33.28,4348
July,177,24.62,33.93,26.78,1134,85.79,27.3,7294
June,39,25.3,37.44,10.68,823,81.08,46.92,1000
March,124,29.88,27.13,28.97,709,83.31,23.8,7789
May,221,47.81,29.16,27.55,1212,87.17,31.96,3757
May,73,40.04,31.02,26.47,1081,95.84,45.41,7322
September,200,26.93,32.65,18.33,671,86.7,21.55,7276
April,180,32.62,26.15,12.52,1675,80.26,28.92,3404
April,151,39.93,29.38,17.11,1700,83.19,25.42,2215
July,295,37.8,34.47,13.42,1579,83.3,21.49,3669
August,56,41.66,35.3,27.49,1252,84.36,38.72,3613
October,68,41.84,24.34,25.02,1258,87.73,37.09,3345
January,94,25.87,20.92,26.17,996,97.45,32.08,1427
May,105,42.77,14.46,20.36,1349,82.05,33.85,5529
April,152,33.14,21.21,22.15,839,86.36,20.17,7901
April,30,44.76,21.28,13.09,1480,99.0,35.22,5447
October,105,49.95,16.41,29.89,503,86.86,40.65,5809
July,122,32.55,35.75,20.99,953,80.14,27.29,6861
September,93,38.87,16.84,14.81,1090,85.99,45.33,5191
October,218,29.34,12.43,24.64,1558,94.41,30.28,7878
December,168,25.06,21.85,26.53,842,90.29,27.68,9779
November,170,44.51,32.5,23.79,1125,94.91,21.64,7492
February,146,22.84,11.5,25.23,568,98.05,30.92,3319
January,46,26.71,19.88,18.48,1947,99.1,25.83,4436
January,232,48.39,12.57,15.46,1551,98.64,43.88,1735
March,61,36.42,38.74,11.44,1736,87.29,35.9,3360
February,172,32.55,18.02,16.31,933,84.2,30.09,8239
October,72,39.07,29.58,20.58,1008,84.5,45.78,3138
May,123,22.21,10.79,11.61,1545,95.94,27.3,2505
December,87,26.53,38.81,15.08,1940,89.71,46.52,8348
January,237,24.09,20.57,20.49,669,90.44,44.33,3119
August,181,34.55,12.21,29.52,1272,89.97,41.97,8831
December,146,25.25,20.01,20.86,1665,91.76,27.47,1844
August,79,21.12,10.84,29.14,1034,91.21,23.41,7432
October,42,45.07,25.94,18.27,792,94.25,32.91,6217
February,41,43.51,21.45,28.09,1874,90.42,43.68,3827
June,74,38.93,21.69,13.13,1794,83.41,36.99,5856
February,46,37.15,23.35,19.91,1496,97.58,22.46,9832
May,80,43.54,12.12,18.97,1351,80.12,44.79,4144
February,55,44.26,25.17,27.22,1764,80.68,43.69,6089
May,234,35.26,19.92,28.51,1105,91.0,30.05,8506
November,128,20.75,29.02,21.09,1849,88.2,45.8,4489
February,61,22.46,27.88,17.23,1748,92.23,28.53,2475
September,229,21.03,33.28,28.76,671,96.84,21.59,3609
September,227,23.02,11.53,17.73,583,95.0,49.09,4168
February,256,26.67,10.96,25.8,993,96.9,30.35,5329
March,242,28.73,22.66,21.18,1520,88.93,42.87,2760
April,128,28.09,39.86,15.05,1414,91.82,24.66,1803
October,235,47.99,37.78,20.62,564,80.04,29.94,4401
February,25,35.59,18.48,17.42,1208,95.79,20.6,5563
August,158,33.59,16.91,23.4,569,81.33,32.38,2721
December,24,24.27,11.41,26.65,1535,84.16,46.44,1894
February,160,33.03,16.83,25.72,546,91.22,38.59,2780
March,244,38.02,20.37,11.43,1866,94.64,43.55,5700
April,194,50.0,37.26,13.64,1334,86.13,35.31,8077
November,296,24.94,33.67,24.11,1141,81.19,41.04,6425
January,268,22.88,29.72,29.88,1716,83.31,33.69,5639
December,14,43.96,10.53,26.29,1958,92.98,28.39,4149
May,243,31.08,17.48,10.78,1887,96.28,20.5,9362
October,128,47.28,18.93,12.76,1973,84.81,36.87,5952
November,290,49.77,35.91,28.21,1993,86.17,46.9,5302
May,124,32.64,39.88,14.99,1040,80.7,46.77,7664
December,139,21.11,17.32,28.86,1077,81.33,43.27,2964
April,209,30.1,19.77,27.66,1149,84.98,34.45,6623
December,232,44.85,24.58,13.99,1530,91.82,27.53,9366
January,196,48.38,30.58,24.84,1355,85.79,24.53,7632
October,220,42.88,11.39,16.21,707,85.97,39.39,5099
March,242,40.9,19.67,17.91,625,92.94,40.96,1652
May,219,35.97,21.47,19.88,506,86.69,23.48,9413
March,213,32.96,21.21,25.2,1785,83.5,30.45,9456
April,294,36.36,21.12,10.31,721,97.29,33.84,5193
November,227,34.34,34.74,23.34,1284,90.95,39.93,9870
August,96,42.39,24.86,12.64,1183,90.6,38.06,9910
June,249,45.95,31.13,28.86,905,85.56,23.05,5797
October,20,37.42,28.26,13.9,976,96.88,35.72,4307
April,244,32.28,17.54,29.37,1047,80.36,29.46,5705
August,66,20.22,30.55,23.46,854,80.22,29.08,7556
July,81,35.19,22.86,27.86,1313,95.43,32.42,1367
December,97,33.3,31.62,14.0,1670,93.87,28.45,7800
October,266,36.26,10.24,27.63,1764,98.31,42.68,2105
July,270,36.24,20.93,23.98,1514,99.5,23.73,5877
September,136,32.57,35.15,22.11,1463,88.52,23.57,8615
January,291,47.36,28.1,23.37,1820,80.64,45.97,6715
January,231,43.53,11.31,23.54,1116,96.05,24.11,4852
June,193,38.6,18.51,23.95,1081,95.99,25.05,2096
March,292,33.97,30.9,19.19,1892,97.23,44.49,8091
February,41,31.63,23.6,26.66,1560,95.16,47.63,3137
March,180,48.05,18.28,16.16,685,83.08,46.66,2875
June,221,44.29,10.96,19.27,1707,90.04,35.58,3585
December,59,32.9,27.95,12.6,1844,85.39,26.04,8789
May,171,32.38,38.64,21.86,1628,80.55,24.21,3100
April,93,33.27,35.91,27.8,835,90.48,23.13,5814
February,187,43.33,38.53,19.49,1654,96.46,33.47,8862
February,65,45.63,36.75,10.36,710,96.64,36.22,4320
October,66,30.85,38.19,22.02,577,91.24,36.99,9733
March,177,24.32,21.48,24.5,676,97.63,44.62,6346
October,86,30.86,18.4,28.58,686,89.25,30.2,6545
May,50,30.05,27.24,12.25,1154,89.21,35.59,2644
March,118,42.98,24.89,28.13,1983,96.52,28.07,4075
May,86,32.23,14.64,22.27,1965,85.79,47.51,1326
February,279,49.81,18.19,26.92,522,97.71,44.3,5172
June,80,42.69,12.64,25.62,1148,88.44,46.65,2450
July,97,30.88,14.48,15.58,677,95.12,40.91,6539
November,208,21.63,14.46,28.58,1528,82.93,46.43,7775
January,170,40.67,18.04,22.84,555,92.19,28.89,2265
October,260,49.81,12.13,10.06,704,92.55,27.05,1038
December,289,42.2,28.37,14.25,591,81.93,43.1,2732
April,266,40.65,29.64,17.09,1529,94.22,47.03,3217
May,10,46.75,26.41,14.48,1358,81.13,38.21,2608
November,266,36.29,30.21,10.69,1655,92.86,42.44,2959
May,249,30.69,20.91,25.74,1836,88.2,40.94,2761
May,270,32.92,30.15,20.97,1170,91.72,21.91,7035
November,274,41.78,32.04,13.31,1893,89.19,26.08,2472
May,213,30.17,20.52,16.27,1665,88.13,30.55,4054
July,204,29.42,12.66,20.37,1990,92.63,38.9,5065
September,26,48.25,16.33,27.24,1985,85.47,30.99,9013
April,90,25.84,24.8,11.29,1108,83.82,27.19,1899
October,11,40.79,11.76,13.18,699,84.12,47.92,8035
January,136,33.29,14.59,14.94,1379,83.41,28.8,4305
September,130,49.71,24.84,18.84,849,87.51,23.85,8964
June,264,37.73,13.08,13.35,1471,94.92,30.1,5415
July,284,40.01,36.81,11.24,943,99.84,23.06,7094
May,271,43.79,18.27,15.52,722,92.96,22.16,8038
March,264,30.73,18.52,19.75,1998,84.65,40.52,9874
February,252,36.46,30.61,16.52,903,95.16,46.57,3446
November,223,22.23,34.95,25.21,1902,91.54,47.02,7634
August,66,35.72,21.01,16.99,1830,80.8,45.01,1337
June,58,25.2,38.35,17.34,1916,84.8,25.72,7564
December,16,20.88,30.54,13.13,1884,93.7,38.08,5894
October,257,31.82,11.95,22.45,1493,85.54,32.02,7309
December,153,24.27,36.69,21.63,1708,92.47,22.86,8168
May,168,28.66,10.42,16.59,1677,82.96,28.77,9507
March,130,47.02,16.57,21.45,916,92.61,25.4,9434
March,25,33.44,17.87,27.0,817,88.51,36.04,9354
July,85,34.75,30.68,15.95,1339,91.55,34.98,5085
November,269,36.4,34.17,14.5,1973,86.05,29.61,3319
March,270,44.63,17.63,21.81,1112,86.56,29.32,1815
December,102,38.93,28.99,27.68,636,86.88,32.16,3941
April,133,30.32,20.66,22.24,1278,85.94,29.46,7244
October,90,27.62,10.27,15.93,1423,94.79,29.02,7442
March,221,41.66,16.98,13.12,1710,93.35,28.23,4140
December,57,20.48,17.55,18.42,638,95.53,45.09,6502
July,76,40.4,29.85,14.65,886,80.13,47.17,8004
May,30,31.31,32.17,11.77,1468,81.62,20.99,8577
January,265,30.82,36.58,29.25,591,86.78,28.53,5229
October,191,42.19,18.46,29.89,691,92.03,45.88,8502
March,243,32.57,11.89,25.03,957,98.38,48.74,4597
December,250,35.41,27.32,29.84,1819,96.88,31.57,3896
June,115,42.62,39.61,14.58,1507,98.09,26.02,2334
October,265,35.82,27.78,15.44,1686,85.71,40.6,6729
October,70,20.97,22.84,16.62,1694,85.58,23.95,3379
December,232,42.85,35.9,20.16,1240,96.15,21.76,9283
April,243,25.88,38.09,13.96,1260,92.19,23.27,2908
May,42,40.36,32.27,15.17,707,86.19,40.32,7437
November,299,20.75,16.99,25.73,725,81.62,36.12,4564
December,99,41.34,16.22,23.06,995,97.0,47.0,2527
May,181,22.83,28.03,13.09,555,92.69,43.45,1174
October,220,43.98,17.85,20.21,1303,89.33,26.16,7335
August,287,25.75,27.6,14.19,1003,97.86,39.59,3027
September,45,46.09,18.97,18.77,1665,88.8,34.83,4325
March,199,34.47,30.99,15.37,1390,98.62,40.27,6997
January,156,21.98,33.94,25.0,865,83.5,26.99,4470
April,134,46.23,13.05,21.92,1521,81.4,30.64,3497
January,127,49.51,12.72,10.26,787,91.56,31.5,6420
October,30,41.61,12.35,25.04,783,86.91,41.15,2802
February,280,44.49,15.99,15.36,660,98.74,40.55,5443
March,89,25.92,16.64,17.72,1089,87.33,37.0,8178
January,211,35.3,38.88,19.78,1569,98.65,46.61,4060
September,115,29.1,31.98,16.75,1719,87.72,32.37,2264
October,294,21.4,19.69,23.05,1623,92.46,47.86,8110
March,260,32.58,25.09,11.18,1920,83.46,46.34,3912
May,97,25.18,24.83,28.29,1970,84.92,28.33,4228
July,148,21.59,23.04,17.75,1230,91.6,28.07,8070
July,205,21.76,13.41,26.43,1652,81.45,48.81,8678
May,15,28.28,10.86,15.11,1445,97.38,31.48,6626
June,35,37.23,36.84,16.78,1252,86.3,40.61,5629
July,79,35.62,23.94,21.91,645,81.95,35.68,7701
August,136,47.71,18.68,13.67,1438,90.77,30.49,1695
August,290,23.94,13.47,19.05,1164,90.2,21.96,7800
October,80,49.56,35.48,29.05,751,97.76,40.3,7719
November,55,21.97,11.98,15.65,1236,97.98,26.02,4946
February,172,28.61,16.61,22.78,1922,82.92,46.19,8530
November,291,49.25,18.86,14.05,911,84.43,41.81,5486
December,216,24.33,13.82,22.56,1993,93.49,39.56,5554
December,196,31.23,24.58,10.82,664,90.75,22.32,2650
November,183,47.37,14.02,15.89,1469,90.08,34.23,6059
November,113,33.87,39.95,22.25,1614,92.76,26.42,5754
March,291,34.13,34.78,18.72,955,92.82,30.18,8233
September,174,21.48,15.06,12.38,1220,81.85,20.66,5296
September,295,20.37,29.15,10.5,537,87.65,23.57,6345
December,12,21.88,39.5,18.15,1962,85.89,25.71,7827
April,32,38.94,32.64,24.56,1382,88.0,22.58,8814
August,89,25.47,12.97,18.78,1445,83.61,22.24,3547
November,17,33.37,18.08,25.47,1539,85.48,31.12,6919
June,206,45.47,38.83,25.69,1068,83.64,38.1,1011
July,170,29.3,15.82,11.85,703,92.86,24.08,8605
November,207,49.43,37.4,16.43,1435,89.04,24.8,1976
December,183,40.07,10.77,15.39,1312,88.87,27.82,7324
July,102,23.58,38.38,13.27,1202,85.71,28.94,9779
February,197,29.74,36.54,22.85,1207,82.3,27.3,4053
February,138,30.19,14.4,10.36,801,94.55,33.56,4399
January,86,47.04,11.26,26.24,1841,97.28,20.51,6162
September,89,30.22,13.47,18.22,1979,86.59,45.18,5986
February,60,30.96,27.68,21.41,739,91.33,41.52,2049
May,220,35.38,10.73,28.62,1933,91.22,21.17,3397
July,267,48.47,36.27,13.56,744,88.43,24.38,1840
September,284,31.43,24.58,14.95,1019,80.08,21.21,9740
November,10,47.47,37.89,12.47,1827,80.79,24.31,3155
May,271,44.68,19.89,16.36,962,87.09,30.87,1978
September,155,22.19,13.44,17.52,1726,91.93,44.07,3677
August,65,35.36,15.66,28.15,901,97.76,24.09,8855
May,130,34.2,25.76,18.48,1705,97.79,39.78,4474
June,130,45.72,12.87,21.6,1543,80.93,28.45,7957
March,105,36.44,26.17,26.8,1219,93.51,44.85,9034
August,250,49.04,26.48,27.31,571,94.64,20.44,3998
June,73,48.56,32.71,19.78,1699,82.57,30.1,3839
April,247,27.89,16.27,10.41,710,95.08,36.83,3425
April,161,48.84,31.56,13.33,539,84.6,28.73,3834
July,186,30.84,23.35,24.35,1766,98.04,28.92,7214
January,26,20.6,18.68,17.17,1331,83.18,43.28,1121
February,181,32.12,25.94,23.16,569,97.98,40.81,3004
August,135,40.32,16.92,12.28,1493,93.76,30.83,3257
December,51,49.89,14.44,10.43,1762,84.01,20.63,6574
November,184,48.16,18.58,26.26,903,95.16,32.57,3006
February,66,39.13,16.43,29.36,1944,92.73,37.99,6185
March,17,42.98,15.31,21.64,799,98.35,32.8,7144
January,117,33.02,29.19,15.76,1303,90.95,40.68,9756
June,109,42.9,23.03,12.24,1054,85.71,24.55,2093
November,97,40.17,31.23,16.53,1399,96.86,39.64,3892
December,11,48.94,35.69,14.81,881,85.47,32.6,9713
September,86,38.03,19.74,13.36,857,88.38,29.59,9120
November,204,39.7,18.79,22.71,1928,83.45,31.1,6722
May,226,48.29,28.43,23.17,1517,84.23,47.01,3759
February,16,35.26,16.9,27.4,1403,88.45,28.51,7972
May,227,44.89,34.52,28.29,625,80.64,37.48,7191
June,108,25.34,16.84,12.83,1453,84.53,23.99,3984
April,277,41.77,20.23,29.22,1605,97.57,46.21,5190
January,141,44.46,39.9,29.96,706,94.09,39.42,2812
October,183,29.32,12.85,23.13,1994,98.52,25.01,4882
November,88,29.06,34.1,16.2,1615,92.94,27.28,9067
September,33,30.57,33.68,11.74,741,81.48,47.59,2819
October,127,32.2,21.42,19.43,588,98.9,34.49,5531
November,97,24.05,17.56,14.66,1065,95.68,26.2,6911
June,100,20.52,39.59,15.09,1943,97.69,40.5,2660
June,196,39.89,32.98,12.51,922,90.53,38.74,6184
March,178,36.34,14.24,19.19,1355,96.46,47.61,1804
May,183,23.14,33.02,27.3,1732,83.99,44.85,6950
January,204,28.18,25.11,28.5,1873,92.41,22.46,6882
December,196,39.6,39.35,20.32,681,83.93,43.41,1127
April,226,27.06,29.95,20.69,1286,94.98,38.78,6513
June,51,34.26,17.4,20.45,749,88.64,24.78,5779
August,254,48.37,15.04,20.82,1013,94.58,24.03,9252
July,186,41.28,33.5,27.98,1309,86.65,47.27,3364
May,184,23.8,13.94,14.89,1830,91.86,41.73,4254
December,17,33.35,28.77,29.39,1613,84.87,39.56,3964
August,29,47.56,34.18,16.04,693,92.84,49.23,5986
February,271,35.93,14.34,22.45,1043,84.25,23.46,9204
April,124,24.6,23.88,16.06,1526,82.25,40.89,1920
August,31,21.78,25.46,15.62,691,99.04,23.86,3008
August,183,23.02,37.04,12.57,525,85.45,42.67,7708
June,203,49.82,13.16,12.92,1060,84.19,37.68,6070
March,203,21.78,12.05,17.58,885,97.97,37.41,7341
June,135,39.38,22.91,29.99,1674,90.29,32.68,8147
April,105,28.37,14.18,15.03,620,98.88,45.45,8210
June,12,47.79,37.87,24.33,1659,89.81,49.1,3598
February,253,43.6,11.62,26.21,1117,94.12,24.47,1444
February,88,29.21,14.39,24.62,1175,83.33,37.65,4950
October,63,43.79,12.37,27.15,1011,97.46,43.25,3384
February,130,36.34,17.14,29.29,1279,94.99,25.25,8426
August,120,44.24,13.91,26.28,555,81.3,31.5,1695
April,212,38.33,11.75,21.53,1203,86.94,20.89,4439
July,215,33.96,24.16,27.94,1680,90.2,39.38,2712
February,113,20.68,11.23,26.37,1995,82.25,26.97,4392
August,122,40.54,12.26,26.37,722,99.68,40.38,7911
June,110,34.52,35.87,22.08,1643,81.76,29.39,5812
August,195,21.87,25.62,21.64,552,82.17,43.0,7990
January,181,22.54,28.02,28.45,1387,81.92,42.41,4389
October,246,49.32,30.51,24.43,1821,99.38,46.29,1544
December,268,47.87,15.03,29.34,1061,98.98,35.68,8688
October,138,41.74,27.83,24.24,1143,95.76,20.72,7468
January,21,33.01,28.97,10.47,1138,81.0,38.12,7345
August,14,25.25,39.35,13.91,1032,91.84,28.01,9783
May,76,43.2,38.45,13.73,1589,90.67,35.62,5750
August,107,48.2,10.0,24.56,755,81.72,33.28,1042
September,12,46.23,16.74,22.33,1049,86.76,26.19,8556
April,93,37.99,17.22,10.99,683,95.94,32.4,3052
June,163,23.99,39.89,14.55,1434,99.85,47.32,6535
August,12,37.69,39.87,16.66,1703,84.22,36.09,9064
May,222,38.82,11.23,15.64,658,97.29,30.64,4088
November,235,28.2,11.26,10.7,534,86.16,42.19,5063
March,35,29.22,24.38,12.02,1416,86.22,29.1,7828
March,148,37.05,30.29,17.18,1868,83.48,29.02,6948
September,240,39.38,10.34,12.79,1275,87.32,45.31,9022
August,272,38.4,26.05,25.53,1616,86.31,21.03,7300
December,279,24.9,27.97,23.66,1060,85.65,20.63,8903
July,241,38.07,24.76,11.49,1858,87.87,30.55,8872
August,241,20.12,12.9,24.8,1467,95.96,31.21,5596
March,49,45.78,35.05,13.81,975,82.61,34.61,3450
May,212,43.87,18.27,26.3,664,83.08,33.56,2533
July,294,36.96,30.55,21.29,1901,92.49,41.61,3924
February,102,40.14,19.19,26.14,793,82.04,38.89,1416
November,67,47.61,18.55,18.91,953,81.04,28.3,7020
